TARGETID,Z,LOGMSTAR,HALPHA_FLUX,HALPHA_BD
39632966141347391,0.03534949884,9.6818762,303.25427,2.8599999
39627911266831895,0.1309783644,10.425134,108.43673,3.2337086
39633025482360313,0.1063944467,9.8848209,243.189,3.5774903
39633148606157212,0.3543896898,9.9053907,152.19083,3.2349887
39628417838092707,0.1549912091,9.3826599,420.62268,3.6538203
39627880602273568,0.1284972338,9.628088,76.761177,4.1802602
39628274296427844,0.04802760342,9.0646086,56.446491,2.8599999
39627702759592126,0.1485757886,8.8590088,333.95996,3.1393464
39633162858402101,0.3047727195,10.106866,91.864815,4.7941036
39628096185303441,0.2275083651,9.928607,123.89187,3.7752697
39627709210432617,0.22083844,9.5083942,51.60099,3.3148503
39627922713085814,0.4021420167,10.400682,97.649887,4.6207824
39633408502008881,0.294003573,10.292772,247.58943,4.6229186
39627943592329785,0.1274250168,9.8569651,184.39444,3.7749844
39627735944921566,0.05242929068,10.787819,465.86865,5.8262639
39633270387770269,0.2009389621,10.019062,106.59,4.0710135
39628375840525936,0.3427070828,10.627209,63.993217,5.6802382
39627696770126752,0.03076287395,8.9013834,59.768024,2.8599999
39633529222463563,0.07968137751,8.9444895,111.98844,3.0074162
39627857122559315,0.2409219361,10.558089,41.426155,3.5580597
39627619657843231,0.2244198873,10.38491,79.412949,3.2432666
39633019102826502,0.1351155023,9.8848038,72.723671,3.7947922
39628326884607519,0.4880009891,10.355255,103.27007,5.1802502
39627797529887800,0.3028023693,10.515069,61.688496,3.6975279
39633259981703354,0.163691258,10.514894,123.06866,4.3647771
39627703405511342,0.1640196303,9.5101547,86.737183,4.8526211
39627866102566583,0.2588322294,10.25709,86.318123,3.8716676
39633166608108001,0.1131708189,9.2472925,62.669022,2.9241848
39633412843112894,0.07981289346,7.7481084,264.76361,3.1693211
39628521890384938,0.09848037921,9.1754189,107.65949,2.8599999
39627949959285117,0.2300139085,10.456017,57.720539,4.3917217
